上述	b	O	O
犯罪	v	O	O
事实	n	O	O
有	v	O	O
以下	nd	O	O
证据	n	O	O
证实	v	O	O
1	m	O	O
被告人	n	O	O
李大勇	nh	S-Nh	O
供述	v	O	O
我们	r	O	O
从	p	O	O
业主	n	O	O
家	n	O	O
出来	v	O	O
后	nd	O	O
包工头	n	O	O
还是	d	O	O
一直	d	O	O
抱怨	v	O	O
我们	r	O	O
话	n	O	O
里	nd	O	O
还	d	O	O
带	v	O	O
脏字	n	O	O
我	r	O	O
当时	nt	O	O
很	d	O	O
生气	a	O	O
就	d	O	O
用	p	O	O
手	n	O	O
推	v	O	O
包工头	v	O	O
一下	m	O	O
他	r	O	O
随手	d	O	O
从	p	O	O
地上	nl	O	O
抄	v	O	O
起	v	O	O
一	m	O	O
块	q	O	O
瓷砖	n	O	O
朝	p	O	O
我	r	O	O
身上	nl	O	O
砸	v	O	O
我	r	O	O
躲	v	O	O
开	v	O	O
后	nd	O	O
又	d	O	O
一	m	O	O
脚	n	O	O
跺	v	O	O
在	p	O	O
包工头	n	O	O
肚子	n	O	O
上	nd	O	O
他	r	O	O
倒	v	O	O
地	u	O	O
后	nd	O	O
我	r	O	O
又	d	O	O
用	p	O	O
拳头	n	O	O
朝	p	O	O
他	r	O	O
脸上	nl	O	O
捶	v	O	O
几	m	O	O
拳	q	O	O
然后	c	O	O
我	r	O	O
准备	v	O	O
起身	v	O	O
走	v	O	O
但	c	O	O
包工头	n	O	O
站	v	O	O
起来	v	O	O
还	d	O	O
用	p	O	O
瓷砖	n	O	O
砸	v	O	O
我	r	O	O
我	r	O	O
很	d	O	O
生气	a	O	O
就	p	O	O
过去	nt	O	O
拽	v	O	O
着	u	O	O
他	r	O	O
衣领子	n	O	O
给	p	O	O
他	r	O	O
甩	v	O	O
出去	v	O	O
之后	nd	O	O
我	r	O	O
又	d	O	O
过去	nt	O	O
朝	p	O	O
他	r	O	O
腿	n	O	O
上	nd	O	O
跺	v	O	O
几	m	O	O
脚	q	O	O
他	r	O	O
开始	v	O	O
喊	v	O	O
腿	n	O	O
断后	v	O	O
来	v	O	O
我	r	O	O
被	p	O	O
业主	n	O	O
家里人	n	O	O
给	p	O	O
拉开	v	O	O
然后	c	O	O
我	r	O	O
和	c	O	O
韩某	nh	S-Nh	O
开车	v	O	O
走	v	O	O
。	wp	O	O
在	p	O	O
我	r	O	O
打	v	O	O
包工头	n	O	O
过程	n	O	O
中	nd	O	O
韩	j	O	O
某	r	O	O
没	d	O	O
动手	v	O	O
。	wp	O	O
2	m	O	O
被害人	n	O	O
杨某	nh	S-Nh	O
1	m	O	O
陈述	v	O	O
我们	r	O	O
三	m	O	O
个	q	O	O
从	p	O	O
屋里	nl	O	O
出来	v	O	O
后	nd	O	O
在	p	O	O
门口	nl	O	O
等	v	O	O
电梯	n	O	O
时	n	O	O
那个	r	O	O
高个	n	O	O
说	v	O	O
今晚	nt	O	O
你	r	O	O
必须	d	O	O
给	p	O	O
我	r	O	O
两千	m	O	O
